id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,l4,l5,l6,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,currency,price_period,title,description,property_type,operation_type
Vo0Lw5Logt8TwQqfixGLjQ==,Propiedad,2021-04-20,2021-05-22,2021-04-20,3.4009073969,-76.5323605956,Colombia,Valle del Cauca,Cali,,,,6.0,6.0,,,,495000000.0,COP,,Casa limonar bifamiliar,"Casa limonar bifamiliar en {""id_zona"":307519,""zona"":""Limonar"",""id_ciudad"":132,""id_empresa"":56018,""location_id"":null} - Cali - Valle del Cauca",Casa,Venta
GrpM2SRS0KwyXH5gp/qAyg==,Propiedad,2021-04-20,2021-07-09,2021-04-20,3.401,-76.504,Colombia,Valle del Cauca,Cali,,,,,2.0,,,,900000000.0,COP,,APARTAMENTO EN VENTA EN CALI ,"Oportunidad!!!

Venta de Apartamento Penthouse en Bellavista  en la Ciudad de Cali.  Acabados de lujo. Área Lote: 256 Mt2. Área Construida: 250 Mt2. Valor Venta: $1000.000.000. 
Es un edificio creado para disfrutar de una agradable brisa que llega desde los farallones y  un ambiente moderno y amigable con una hernosa vista. 
Distribuido de la siguiente manera:
Primer piso: Con doble altura, hall de acceso, baño social, escaleras, jardín interno, cocina, cuarto de empleada domestica, balcón, sala comedor.
Segundo piso:   2 habitaciones cada una con closeth ,baño, jacuzzy, zona BBQ, 

Griferia alemana, solarium con paneles solares, piscina con borde infinito y vista a Cali, parque infantil, cancha de squash y salen de conductores.",Apartamento,Venta
5lYzd1hHcz9MoStm/GLCRw==,Propiedad,2021-04-20,9999-12-31,2021-04-20,4.701669388,-74.2286109924,Colombia,Cundinamarca,Mosquera,,,,,,,,,480000000.0,COP,,CASA EN VENTA MOSQUERA - ROBLES,"Espectacular Casa en venta mosquera conjunto residencial robles urbanización Alcalá.
Hermosa casa con un área de 100 metros aproximadamente consta de dos niveles primer nivel sala comedor cocina integral totalmente equipada tipo americano zona de lavado depósito un baño tiene una jardín amplio dos parqueaderos segundo nivel 3 alcobas con clóset dos baños con divisiones en vidrio en la alcoba principal tina de hidromasajes casa con iluminación natural en sector club house campestre valor $480000000
",Casa,Venta
dTq2MItI53uscFxiWB0u/Q==,Propiedad,2021-04-20,9999-12-31,2021-04-20,4.8260703629,-74.3590564513,Colombia,Cundinamarca,Facatativá,,,,2.0,2.0,,,,110000000.0,COP,,Vendo apartamento cuarto piso Conjunto Girasoles Reservado ,"Apartamento cuarto piso con escaleras amplias y descansadas, cuenta con 2 habitaciones con closet, puertas en Madera, cocina integral, barra en madera, puertas en Madera, calentador a gas, tiene los tres servicios públicos, 1 baño con división en acrílico, sala-comedor. Vista a la zona verde interna, buena iluminación, paredes estucadas y pisos en cerámica.
",Apartamento,Venta
xDv0FQL+MXBhsqNjpxaAuw==,Propiedad,2021-04-20,9999-12-31,2021-04-20,4.8274580627,-74.3535311535,Colombia,Cundinamarca,Facatativá,,,,3.0,3.0,,,,170000000.0,COP,,"Oferta Apartamento con parqueadero y depósito, Parques de santa Helena","Vendo apartamento en Facatativá Cundinamarca. Cuarto piso conformado por : Sala- Comedor, balcón en la sala, cocina, zona de lavado,calentador a gas, 3 habitaciones, baño de visita, habitación principal con balcón y zona de baño privado. Servicios de agua, luz y gas natural. Parqueadero cubierto y zona de depósito.

¿Porque invertir aquí?


* Sector de alta valorización
* Conjunto Cerrado
* Excelentes vías de acceso
* Rodeado de naturaleza
* Espacios amplios entre zonas verdes
* Senderos Peatonales
* Club House
* Piscina privada climatizada
* Portería con lobby
* Cuarto de basuras
* Zona comercial de dos plantas
* Salón de eventos
* Parque infantil y zona recreativa
* Parqueaderos privados
* Parqueaderos de visitantes
* Calles adoquinadas
* Fachadas exteriores en ladrillo estructural y ventanearía en aluminio.
",Apartamento,Venta
QScUTTOiPQarKr+fTKQQYQ==,Propiedad,2021-04-20,2021-04-20,2021-04-20,3.386,-76.521,Colombia,Valle del Cauca,Cali,,,,,3.0,1.0,,,150000000.0,COP,Mensual,CASA EN VENTA EN CALI ,"CASA EN VENTA EN CIUDADELA COMFANDI, primera etapa, excelente ubicación, zona de alta valorización, un solo piso en peaje, estado original, para remodelar, estrato 3 área de lote 57 M2, área construida 47.22 M2, conformada por sala comedor, cocina, dos habitaciones, baño y patio de ropas. Cerca de Olímpica, parque, iglesia y dispone de parqueadero comunitario, vías de acceso en buen estado, ciudad de Cali, Simón Bolivar, Cra 42, Cra 86, transporte público servido por el transporte MIO.",Casa,Venta
6nitj5v9ezQ43boDlEdUbw==,Propiedad,2021-04-20,9999-12-31,2021-04-20,4.594,-74.205,Colombia,Cundinamarca,Soacha,,,,,3.0,1.0,,,105000000.0,COP,,APARTAMENTO EN VENTA EN SOACHA ,"Apartamento ubicado en Soacha de 59 M2, cuenta con tres habitaciones, un baño, no tiene parqueadero, un ascensor, esta en obra gris, zona de lavanderia, conjunto cerrado, faciles vias de acceso. Para mayor información comunicarse con Andrea Beltran",Apartamento,Venta
ro32mTa4cbsZ7AHhXOeHFQ==,Propiedad,2021-04-20,2021-04-21,2021-04-20,,,Colombia,Antioquia,Medellín,,,,,,1.0,,,125000000.0,COP,,Casa en Venta Ubicado en BELLO,"Codigo Inmueble 6620 Cómodo apartamento con 3 habitaciones, sala-comedor, cocina semi-integral, zona de ropas, 1 baño completo, iluminado, con buena ventilación. Su ambiente cálido con cómodos espacios comunes, lo convierten en una excelente alternativa para vivir, buenas rutas de acceso, cerca de supermercados, restaurantes. Porque los asuntos importantes deben quedar en manos de expertos, llámanos para ampliarte la información. Código Interno: 6620",Casa,Venta
sb7sYukjwQ3VN7a/oW2OoA==,Propiedad,2021-04-20,2021-04-21,2021-04-20,,,Colombia,Antioquia,Medellín,,,,,,1.0,,,120000000.0,COP,,Apartamento en Venta Ubicado en MEDELLIN,"Codigo Inmueble 63 Apartamento en Venta unidad cerrada en el sector Robledo con un área de 41 Mts, 2 habitaciones, 1 baño, sala comedor, cocina integra red de gas, pisos de cerámica, zona de ropa, parqueadero común, piscina, zonas verdes, salón social y portería 24 horas.",Apartamento,Venta
GNxlpm5TrMsUASDCHGI8Uw==,Propiedad,2021-04-20,9999-12-31,2021-04-20,4.6999855,-74.08991334,Colombia,Cundinamarca,Bogotá D.C,Zona Occidental,Engativa,,,,1.0,,,209000000.0,COP,,AFIDRO CALLE 80,"El apartamento se encuentra ubicado en el conjunto residencial Afidro Clle 80 en una muy buena y segura ubicaciòn en la diagonal 81 H con 77. Consta de Sala comedor, cocina y un baño con 2 alcobas principales y una pequeña con 1 closety de pared a pared. En un edificio de 3 pisos y con bella vista hacia el barrio la palestina y colegio, con un excelente ambiente de aire puro por su buena arborizaciòn. El apartamento està para remodelarse y tiene como gran ventaja los espacios en 73 M2 Parqueadero descubierto pero no privado con preeminencia para los propietarios. 100 mil pesos de administración mensual.

SE PUEDE VER CON CITA PREVIA - PRECIO NEGOCIABLE.",Apartamento,Venta
GhwwM/gsGVWJzdGh07+uKw==,Propiedad,2021-04-20,2021-07-15,2021-04-20,5.04614476,-75.47948599,Colombia,Caldas,Manizales,,,,,,2.0,,,240000000.0,COP,,"Venta Apartamento en Milan, Manizales   No557198 _ wasi557198","Excelente apartamento  en Milan, Manizales. Se encuentra en una muy buena ubicación ya que sobre la avenida principal del sector, cuenta con muy buena iluminación y amplios espacios con un area de 57m2 se distribuye en sala comedor seguido, cocina integral con barra americana, 2 habitaciones con closet, 2 baños, zona de ropas El edificio cuenta con ascensor y vigilancia las 24 horas.",Apartamento,Venta
am+dIZixom4HSc17OY1Osw==,Propiedad,2021-04-20,2021-04-21,2021-04-20,,,Colombia,Antioquia,Medellín,,,,,,2.0,,,230000000.0,COP,,Casa en Venta Ubicado en ITAGUI,"Codigo Inmueble 2391 Casa amplia, segundo piso y muy bien ubicada, cerca de la central mayorista de Antioquia, a vías principales, a 10 minutos de la estación Ayurá, facilidad de transporte.",Casa,Venta
7sqh4qv6AA44YkR8wLg9cw==,Propiedad,2021-04-20,2021-04-20,2021-04-20,,,Colombia,Antioquia,Medellín,,,,,,2.0,,,275000000.0,COP,Mensual,Apartamento en Venta Ubicado en BELLO,"Codigo Inmueble 192 Se vende apartamento en unidad cerrada piso 20, con parqueadero privado y cuarto útil.Las comodidades son: 3 alcobas,3 closet, red de gas, comedor, sala, lavadero, balcón, piso en porcelanato, 2 baños cabinados, lavamanos, calentador.En las zonas comunes se encuentra: Salón social, piscina, gimnasio, juegos infantiles, jardin interno, portería las 24 horas.",Apartamento,Venta
YV6vTbfuFSaM/elFJ9JHbg==,Propiedad,2021-04-20,2021-04-20,2021-04-20,,,Colombia,Santander,Bucaramanga,,,,,,2.0,,,160000000.0,COP,Mensual,VENTA CASA POBLADO GIRON,"Publicado desde ProperatiTools

SE VENDE CASA EN EL POBLADO GIRON, SE ENCUENTRA EN BUEN ESTADO, SECTOR RESIDENCIAL Y COMERCIAL, CONSTA DE 4 ALCOBAS AMPLIAS, COCINA TRADICIONAL, 2 BAÑOS, AMPLIA SALA COMEDOR, PATIO AMPLIO. 

EL VALOR DE VENTA ES NEGOCIABLE

AGENDA TU CITA. 


 Ref#737531",Casa,Venta
UusQPNkmUyUgg5osHZw1NA==,Propiedad,2021-04-20,2021-07-28,2021-04-20,6.248,-75.591,Colombia,Antioquia,Medellín,Laureles,,,,,2.0,,,336000000.0,COP,,Apartamento En Venta En Medellin Laureles CodVBRAS3102,Apartamento Duplex de renta diaria cerca del primer parque de Laureles en venta. Recién remodelado ubicado en un edificio que no paga administración y cuenta con la regulación para arrendar por días. Es un piso 3 y 4. Mide 70mtrs2 y tiene 2 alcobas| 2 baños| cocina integral| sala-comedor| escaleras tipo industrial y una terraza con vista y brisa| el apartamento es muy iluminado y ventilado. El apartamento se puede alquilar por noche entre 40 y 50 dólares. El precio incluye los muebles y actualm,Apartamento,Venta
YbaSyVYvUXoYEG6FIIXj9g==,Propiedad,2021-04-20,9999-12-31,2021-04-20,4.708,-74.041,Colombia,Cundinamarca,Bogotá D.C,Zona Norte,Usaquén,,,2.0,2.0,,,520000000.0,COP,,APARTAMENTO EN VENTA EN Bogota,"Apartamento en La CArolina, segundo piso interior, cuarto y baño de servicio, estudio, cocina integral, dos alcobas, dos baños, un parqueadero y deposito. Apartamento remodelado. Ubicado en buen sector, faciles vias de acceso. Para mayor informacion comunicarse con Andrea Beltran",Apartamento,Venta
