id,fecha_publicacion,ciudad,zona,tipo,area,dormitorios,banos,precio_millones,precio_m2,segmento,precio_estimado,diferencia_pct,estado_precio,dias_publicado,esta_activo
3dO7LIWNTEJdN6G5I0FI9g==,2021-03-25,Medellín,El Poblado,Apartamento,260.0,3.0,3.0,950.0,3653846.153846154,Amplios de precio alto,1120.7553036699665,-15.235734607797092,Por debajo del valor estimado,54.0,False
LopKJLW0PevE9Pc9UGK7pw==,2021-03-25,Medellín,Laureles,Apartamento,144.0,3.0,3.0,450.0,3125000.0,Económicos estándar,641.3795697716112,-29.838738056430376,Por debajo del valor estimado,,True
AxPt13WgDS/2BbhnrDkHKQ==,2021-03-25,Los Patios,Sin dato,Casa,78.0,3.0,3.0,180.0,2307692.3076923075,Económicos estándar,178.6907245235499,0.7327047780129994,Cerca del valor estimado,140.0,False
EZigNu1nNPigvJpJVlupEg==,2021-03-25,Bogotá D.C,Zona Norte,Apartamento,100.0,3.0,3.0,530.0,5300000.0,Amplios de precio alto,529.178646915871,0.1552128168655236,Cerca del valor estimado,98.0,False
0lahc2i2A8p9KF+B3CzPcQ==,2021-03-25,Bogotá D.C,Zona Noroccidental,Apartamento,102.0,3.0,3.0,480.0,4705882.352941177,Amplios de precio alto,586.4784319422333,-18.155558012527422,Por debajo del valor estimado,76.0,False
YDEe2EE/+i8X9UMBOt50ig==,2021-03-25,Bogotá D.C,Zona Noroccidental,Apartamento,122.0,3.0,3.0,720.0,5901639.344262295,Amplios de precio alto,650.8945849920298,10.616990308625233,Cerca del valor estimado,134.0,False
2VqGX8afQVT/qt2llG1OTQ==,2021-03-25,Barranquilla,Sin dato,Apartamento,112.0,3.0,3.0,315.0,2812500.0,Económicos estándar,378.80154568055053,-16.84300035416313,Por debajo del valor estimado,49.0,False
X8wZ+1wGHyNs82CKiH9maA==,2021-03-25,Cali,Sin dato,Apartamento,250.0,3.0,4.0,680.0,2720000.0,Amplios de precio alto,1205.3447605366157,-43.58460564450738,Por debajo del valor estimado,6.0,False
I8IYtGNZ/egAQuxVH1o6SQ==,2021-03-25,Cali,Sin dato,Apartamento,120.0,3.0,4.0,350.0,2916666.6666666665,Amplios de precio alto,435.03619954519553,-19.546924976380314,Por debajo del valor estimado,158.0,False
VhckfAYfFDOSQ4WRnQKjPA==,2021-03-25,Envigado,Sin dato,Apartamento,173.0,3.0,4.0,880.0,5086705.202312139,Amplios de precio alto,895.4552169319791,-1.725962017947915,Cerca del valor estimado,,True
7nEVN05B0F2Uc450nCbUcw==,2021-03-25,Medellín,El Poblado,Apartamento,165.0,3.0,4.0,613.0,3715151.515151515,Amplios de precio alto,841.3124550789981,-27.13765304443994,Por debajo del valor estimado,,True
Aji06OXp0hqgT79HlI4TPA==,2021-03-25,Bogotá D.C,Zona Norte,Apartamento,139.0,3.0,4.0,860.0,6187050.35971223,Amplios de precio alto,883.0466737964815,-2.6099043776924016,Cerca del valor estimado,134.0,False
Rhw3zdScwM3hcbsueBD3oQ==,2021-03-25,Medellín,El Poblado,Apartamento,176.0,3.0,5.0,811.0,4607954.545454546,Amplios de precio alto,942.4001693101866,-13.943139399727425,Cerca del valor estimado,,True
D3FGwc+DlL6HDVCcmPIHWw==,2021-03-25,Bogotá D.C,Zona Norte,Apartamento,144.0,3.0,5.0,970.0,6736111.111111111,Amplios de precio alto,1050.4397764451946,-7.657723769506503,Cerca del valor estimado,134.0,False
eBfA0h1lcpxzwZWYj4dYSQ==,2021-03-25,Bogotá D.C,Zona Norte,Apartamento,258.0,3.0,5.0,1700.0,6589147.286821705,Amplios de precio alto,1836.2046666075091,-7.417727940924737,Cerca del valor estimado,134.0,False
